ORGANISM HABITAT	Number of occurrances	Classification
Human intestinal microflora|Soil|Host|Gastrointestinal tract|Feces	1	a
Marine|Sediment|Mud|Aquatic	1	a
Hot spring|Aquatic|Soil	1	a
Host|Fresh water|Wastewater	1	a
Marine|Hot spring|Aquatic|Hydrothermal vent|Fresh water	1	a
Intestinal tract|Host|Human fecal	1	a
Soil|Host|Rhizosphere-colonizing|Rhizosphere	1	a
Hot spring microbial mat|Fresh water	1	a
Soil|Host|Endophyte	1	a
Aquatic|Surface water|Fresh water|Wastewater treatment plant	1	a
Rumen|Host|Bovine rumen	1	a
Marine|Sediment|Marine sediment|Hydrothermal vent|Hydrothermal sediment|Marine geothermal field	1	a
Hot spring|Soil	1	a
Marine|Sediment|Surface water	1	a
Aquatic|Brackish water|Wastewater	1	a
Marine|Food	1	a
Compost|Cellulosic substrates	1	a
Soil|Host|Wood	1	a
Host|Gastrointestinal tract|Human vaginal microflora|Vagina|Urogenital tract	1	a
Deep subsurface|Fresh water	1	a
Human intestinal microflora|Sludge|Wastewater	1	a
Host|Human vaginal microflora|Urogenital tract	1	a
Air|Host|Human vaginal microflora	1	a
Marine|Aquatic|Host|Human oral cavity	1	a
Aquatic|Soil|Host|Fresh water|Fresh meat|Biofilm	1	a
Host|Beer	1	a
Host|Human urine	1	a
Host|Human vaginal microflora|Fresh water	1	a
Host|Human blood|Human oral cavity|Human|Blood	1	a
Root nodule|Host|Rhizosphere	1	a
Host|Human oral cavity|Biofilm	1	a
Host|Human skin|Human fecal	1	a
Marine|Sediment|Host	1	a
Host|Human skin|Human oral cavity	1	a
Sediment|Aquatic|Fresh water|Marsh	1	a
Marine|Mud|Deep sea	1	a
Hot spring|Aquatic|Surface water|Fresh water	1	a
Mud|Soil|Sea water|Fresh water|Sludge|Wastewater|Animal gastrointestinal tract	1	a
Birds intestinal microflora|Human intestinal microflora|Host|Mammalian gastrointestinal tract|Vagina	1	a
Intestinal tract|Soil|Host|Food|Gastrointestinal tract|Fresh water|Feces	1	a
Host|Human skin|Oral cavity	1	a
Host|Gastrointestinal tract|Human oral cavity|Feces	1	a
Soil|Fresh water|Sludge|Oil fields	1	a
Human intestinal microflora|Host|Human oral cavity|Human	1	a
Soil|Host|Rice paddies	1	a
Human leg|Host	1	a
Host|Mollusca	1	a
Human intestinal microflora|Bovine intestinal microflora|Host	1	a
Host|Pig|Pig nasopharyngeal microflora	1	a
Host|Human skin|Human abscess|Human oral cavity|Human	1	a
Sediment|Aquatic|Fresh water|Ponds	1	a
Host|Human skin|Human vaginal microflora	1	a
Host|Human skin|Human airways|Fresh water	1	a
Hot spring|Mud|Aquatic|Soil|Sea water|Fresh water|Animal gastrointestinal tract	1	a
Host|Human vaginal microflora|Vagina	1	a
Soil|Plant root|Terrestrial	1	a
Human intestinal microflora|Host|Human skin	1	a
Mud|Sludge|Wastewater	1	a
Marine|Host|Gastrointestinal tract|Feces	1	a
Aquatic|Soil|Soda lakes|Fresh water	1	a
Host|Gastrointestinal tract|Human vaginal microflora|Feces	1	a
Host|Gastrointestinal tract|Human fecal|Feces	1	a
Host|Human vaginal microflora|Human oral cavity	1	a
Human intestinal microflora|Host|Fresh water	1	a
Hot spring|Aquatic|Hydrothermal vent|Fresh water|Deep sea	1	a
Marine|Mud|Soil	1	a
Human sputum|Host|Gastrointestinal tract|Human	1	a
Host|Bovine|Bovine rumen	1	a
Peat|Wetland|Acidic wetlands|Bog	1	a
Marine|Human intestinal microflora|Host|Gastrointestinal tract|Feces	1	a
Sediment|Soil|Creosote-contaminated soil	1	a
Soil|Host|Fresh water|Cave	1	a
Soil|Host|Fresh water|Rhizosphere	1	a
Birds intestinal microflora|Host|Gastrointestinal tract|Feces|Wastewater	1	a
Aquatic|Plant root|Fresh water|Rhizosphere|Ponds	1	a
Marine|Mat	1	a
Mat|Marsh	1	a
Mine|Heavy metal contaminated soil|Mine soil	1	a
Host|Terrestrial|Gastrointestinal tract|Feces	1	a
Dust|Soil|Host|Animal gastrointestinal tract	1	a
Marine|Aquatic|Bovine rumen	1	a
Soil|Acid mine|Tundra soil	1	a
Soil|Host|Sludge|Oil fields	1	a
Plants|Plant surface|Host	1	a
Marine|Sediment|Aquatic|Brackish water	1	a
Host|Human|Urogenital tract	1	a
Sediment|Wetland	1	a
Soil|Groundwater	1	a
Gingival crevices|Host	1	a
Host|Insect gut|Soft tissue|Nematode symbiont|Blood	1	a
Plants|Plant surface|Host|Plant root	1	a
Host|Oral cavity|Clinical isolate|Human oral cavity	1	a
Mat|Fresh water	1	a
Soil|Host|Human skin|Food|Fresh water	1	a
Air|Soil|Wastewater	1	a
Hot spring|Aquatic|Hydrothermal vent|Fresh water	1	a
Sediment|Plants|Aquatic|Soil	1	a
Gingival crevices|Gastrointestinal tract	1	a
Aquatic|Soil|Fresh water|Iron seep	1	a
Aquatic|Lake|Soda lakes|Fresh water	1	a
Host|Rhizosphere	1	a
Sediment|Mud|Aquatic|Ponds	1	a
Food|Fresh meat	1	a
Sediment|Hot spring|Mud	1	a
Aquatic|Host|Human skin|Ponds	1	a
Root nodule|Aquatic|Soil|Host|Plant root|Fresh water	1	a
Sediment|Sea water	1	a
Host|Gastrointestinal tract|Mammalian gastrointestinal tract|Feces	1	a
Soil|Acid mine drainage	1	a
Mud|Aquatic|Soil|Sea water|Fresh water|Ponds	1	a
Mud|Aquatic|Soil|Sea water|Fresh water|Acid mine|Ponds	1	a
Sediment|Mud|Soil|Sea water|Fresh water	1	a
Surface water|Fresh water|Ponds	1	a
Soil|Host|Human skin|Fresh water|Skin	1	a
Hot spring|Soil|Fresh water	1	a
Root nodule|Aquatic|Soil|Host|Plant root	1	a
Aquatic|Paper mill wastewater|Wastewater	1	a
Root nodule|Soil|Host|Plant root|Plant	1	a
Marine|Aquatic|Host|Endosymbiont	1	a
Soil|Rice paddy soil|Rhizosphere	1	a
Marine water|Marine|Host|Surface water	1	a
Mud|Soil|Host|Sea water|Fresh water	1	a
Intestinal tract|Mud|Soil|Host|Food|Fresh water	1	a
Wood|Cellulosic substrates	1	a
Soil|Host|Fresh water|Blood	1	a
Sediment|Aquatic|Lentic sediment|Fresh water	1	a
Pig gastrointestinal tract|Host|Pig	1	a
Marine|Sediment|Aquatic|Saline water	1	a
Marine|Root nodule|Aquatic|Soil|Plant root	1	a
Marine|Host|Fish|Fresh water	1	a
Marine|Sediment|Sand|Aquatic|Sea sand	1	a
Activated sludge|Sludge|Wastewater	1	a
